speaker_name,talk_title,conf_name
Qi Zhou,Building a Modular Storage Layer for Ethereum on EIP-4844,ETH Denver
Bader Youssef,The Complete Guide Building Blockchains With the Polkadot SDK,ETH Denver
Michał Sobieraj-Jakubiec,Navigating Risks of Layer 2s: The L2BEAT Approach,ETH Denver
Auston Sterling,What Happens if a MEV-Boost Relay Goes Rogue?,ETH Denver
Chris Dixon,Chris Dixon Fireside: The Next Era of the Open Internet,ETH Denver
Peter Van Valkenburgh,Make Public Policy Cypherpunk Again,ETH Denver
Hester Peirce,Hester Peirce Fireside: What's America's Crypto Future?,ETH Denver
Uri Kirstein,Building a Mental Model of a Smart Contract,ETH Denver
Dovey Wan,Taproot Wizards on Bringing JPEGs to Bitcoin,ETH Denver
Scott Trowbridge,The AI x Crypto Intersection,ETH Denver
Jake Brukhman,On-Chain AI Inference: Securing & Scaling Blockchain,ETH Denver
Jasper de Gooijer,Building the Ethereum of Oracles,ETH Denver
Ben Greenberg,The DevRel Playbook for Web3 Companies in 20 Minutes,ETH Denver
Ameen Soleimani,Storm Clouds Ahead: Why Tornado Cash Developers Need Your Support,ETH Denver
Aetos Huo,Fetching Offchain Private Data Using zkPass,ETH Denver
Molly Mackinlay,Filecoin the Storage Layer of Web3,ETH Denver
Michelle Avis,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Rob Avis,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Marc Ziade,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Scott M.,Scaling RPGF With Retro Public Goods Organizations,ETH Denver
Justine H.,Scaling RPGF With Retro Public Goods Organizations,ETH Denver
Kev Silk,Zero-Knowledge Proof in Web3 Identity,ETH Denver
Quincy Jones,The Future of Tokenization and the Demand for Cryptocurrency,ETH Denver
Doug Hoyte,Euler Vault Kit: A Lending Ecosystem Built on ERC-4626 Vaults,ETH Denver
Billy Campana,Build a Searcher Bot to Capture MEV Using the OEV Network,ETH Denver
Cooper Kunz,The (Anti) Superchain Thesis,ETH Denver
Ahmed Al-Balaghi,Unlocking Account Abstraction for the Masses,ETH Denver
Jordi Baylina,Polygon Aggregation Layer: Cross-Chain Security Thru Chain-Level Accounting,ETH Denver
Erik Anderson,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Frankie Colamarino,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Carra Wu,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Luis Schliesske,The Bull Case for AppChains and How to Build Them,ETH Denver
Eduardo Antuña,How EIP4844 Will Affect the L2 Rollups,ETH Denver
Héctor Masip,How EIP4844 Will Affect the L2 Rollups,ETH Denver
Jayendra Jog,Parallelizing EVM With Sei,ETH Denver
Jakub Wojciechowski,Multi-Dimensional Price Oracles,ETH Denver
Dror Tirosh,What's New in Account Abstraction?,ETH Denver
Josh Davis,Core Devs Are Ethereum's Scarcest Resource,ETH Denver
Mike Natanzon,The Blockchain Mechanisms That Will Prevent Dystopia,ETH Denver
Shannon Wells,From Bits to Atoms: How DePIN Is Making Crypto Real,ETH Denver
Rob Solomon,From Bits to Atoms: How DePIN Is Making Crypto Real,ETH Denver
Nikhil Suri,Take Your Asset Multichain With Native Token Transfers,ETH Denver
Luís Freitas,Banking AI Autonomous Agents,ETH Denver
Joseph Poon,Opportunities for the Ethereum Mempool,ETH Denver
Ugur Mersinlioglu,Capturing Oracle Extractable Value Through Specialized OFAs,ETH Denver
Alessandro Buser,Risk Management for Institutional-Grade Yield Farming,ETH Denver
Anthony Rose,Modular Blockchains and Limitless Scaling of Ethereum,ETH Denver
Zack Guzman,Modular Blockchains and Limitless Scaling of Ethereum,ETH Denver
Harsha Abegunasekara,The Art of Getting Hired in Web3 & AI: Job Hunting and Personal Branding,ETH Denver
Matthew Green,Cryptographer Matthew Green on ZK Tech and Privacy,ETH Denver
S.Y. Lee,Scarcity in the Era of AI Superabundance,ETH Denver
Carvas,DeFi: From Apps to Primitives,ETH Denver
Joseph Schiarizzi,Value: How to Accrue It to Tokens,ETH Denver
Gregory Markou,This Is the Year for UX,ETH Denver
Alex Murashkin,More Than a Bridge: Evaluation of Cross-Chain Messaging Protocols,ETH Denver
Griff Green,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Benoit Kulesza,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Amanda Keleher,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Disruption Joe,Principles for a Implementing Pluralist Grants Framework,ETH Denver
Sean Bradford,AI and Co-Creation: How Emerging Tech Can Redefine Ownership,ETH Denver
John Adler,The Path to Gigabyte Blocks,ETH Denver
Eric Wade,"If the US Dollar Is to Survive, It Needs Ethereum to Do It",ETH Denver
Guy Itzhaki,"MPC, ZKP & FHE: Which Cryptography to Bet On (Hint: All)",ETH Denver
Alejandro Ranchal-Pedrosa,F3 and GossipBFT: Fast Finality on Longest-Chain Protocols,ETH Denver
Tom Ngo,Decentralized Layer 2s The New Meta,ETH Denver
Natalia Ameline,Decentralized Layer 2s The New Meta,ETH Denver
Pavel Sinelnikov,Burning Bridges and Strengthening Relationships,ETH Denver
Asta Li,How to Secure 12 Words on the Internet,ETH Denver
Daniel Tan,Efficiency and Innovations: The Journey of zkVMs From Today to Tomorrow,ETH Denver
Michael Bentley,How Modularity Drives the Next Wave of DeFi Lending,ETH Denver
Laurence Day,How Modularity Drives the Next Wave of DeFi Lending,ETH Denver
Rob Green,NFTs as Relational Databases,ETH Denver
Guillaume Lambert,Your Protocol's Token Will Go to Zero. Here's How to Fix It,ETH Denver
Norbert Vadas,Network Design for Protocols Using ZK-Proofs,ETH Denver
Rohit Sarkar,Technical Considerations of Restaking Pools,ETH Denver
Carl DiClementi,Streamlining Blockchain Data Access,ETH Denver
Callil Capuozzo,Uniswap It Just Works,ETH Denver
Nitya Subramanian,Endgame (Wallet Edition),ETH Denver
Leona Hioki,A New Era of Plasma With ZK,ETH Denver
Keshav Pandya,The Future of DeFi: Real World DeFi Applications,ETH Denver
Joao Reginatto,Stablecoin Interoperability: A Single-Infrastructure Model,ETH Denver
Chinmay Vemuri,Flatcoins: Crypto-Native Store of Value,ETH Denver
Tamaghna Basu,Mastering Web3 Security Using AI,ETH Denver
Porter Adams,Enshrining zkRollups Into Ethereum,ETH Denver
Chris Smith,Fuzz Invariant Testing: What Is It and How Can It Help You?,ETH Denver
Martin Hanzl,MiCAR Hands On: Your Guide for the European Crypto Regulation,ETH Denver
Ethan Francis,Getting Started on Solana,ETH Denver
Sam Glenn,Ascending Security: The New Frontier of Application Security With EigenLayer,ETH Denver
Suede Kam,AI Isn't Evil and Smart Contract Proves It,ETH Denver
Zane Huffman,"Actually, Points Are Cool and Good",ETH Denver
Evin McMullen,Blockchain's Next Big Thing: Intent-Centric Aggregator,ETH Denver
Zak Cole,Realism vs. Idealism: Privacy Pools and the Fight for DeFi's Future,ETH Denver
Ameen Soleimani,Realism vs. Idealism: Privacy Pools and the Fight for DeFi's Future,ETH Denver
Jessica Urgo,"Brands & NFTs: Success, Fails & How to Connect",ETH Denver
Sreeram Kannan,"Cheap, Safe, Nimble: DA and the Dream of Modularity",ETH Denver
Nick White,"Cheap, Safe, Nimble: DA and the Dream of Modularity",ETH Denver
Kyle Koshiyama,Bringing Fully Homomorphic Encryption to the L2 Space,ETH Denver
Neel Somani,Challenges & Advantages of Parallel VM Layer-2s,ETH Denver
Brian Russ,The Macro View: Valuation Perspectives From a TradFi Veteran,ETH Denver
Emily Lin,Developer Relations: Accelerating Web3 Growth,ETH Denver
Nader Dabit,Developer Relations: Accelerating Web3 Growth,ETH Denver
Bianca Buzea,Developer Relations: Accelerating Web3 Growth,ETH Denver
Jenks Guo,Developer Relations: Accelerating Web3 Growth,ETH Denver
Victor Sanchez Belmar,"Account Abstraction and Permisionless KYC, Building on Kinto",ETH Denver
Wei Dai,Horizontal Scalability for L2s,ETH Denver
Sam Cassatt,RWA: Future of Real-World Assets On-Chain,ETH Denver
Bhaji Illuminati,RWA: Future of Real-World Assets On-Chain,ETH Denver
Manrui Tang,RWA: Future of Real-World Assets On-Chain,ETH Denver
Caleb Lim,RWA: Future of Real-World Assets On-Chain,ETH Denver
Ari Juels,Oracles Science Fiction and Not So Science Fiction,ETH Denver
Freddy Zwanzger,"The 'State of Staking' Panel: Decentralization, Security, and UX",ETH Denver
Raul Sanchez,"The 'State of Staking' Panel: Decentralization, Security, and UX",ETH Denver
Jon Kol,Permissionless and Modular Interoperability,ETH Denver
Theodore Essery,Community Building: Attracting Developers and Scaling Together in Crypto,ETH Denver
Zhen Yu Yong,"Web3 UI/UX in 2024: Passkeys, Account Abstraction, MPC and the Industry State",ETH Denver
Justine Humenansky,The Collective DAO Archives: DAO Design Principles,ETH Denver
Andrew Beal,How AI Based Threat Detection Can Save Web3,ETH Denver
Scott Imig,Algorithmic Reputation and Sybil Prevention Using Onchain Pagerank,ETH Denver
Remi Gai,Bring On-Chain Confidentiality With Fully Homomorphic Encryption (FHE),ETH Denver
Darren Camas,Building the Derivative to Protect Ultrasound Money's Sweet Yield,ETH Denver
Chris Cordle,Onchain Chess in Rust With Arbitrum,ETH Denver
Laurence Day,On-Chain Undercollateralised Credit: Banking but Worse,ETH Denver
Di Pearson,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Michael Powell,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Carra Wu,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Susannah Evans,Interop in an L2 World,ETH Denver
Fig,Interop in an L2 World,ETH Denver
Brandon Truong,Interop in an L2 World,ETH Denver
Austin King,Interop in an L2 World,ETH Denver
Jerone van de Graaf,ZKM: Implementing a Modular zkVM Using Lookups,ETH Denver
